name,lecture_length,duration,level,price,sale_price,rating,num_rating
The Art of Doing: Code 40 Challenging Python Programs Today!,157,28.5,Beginner,129.99,26.99,4.7,752
Projects In Python For Intermediate :Build Python Projects,75,10.5,Intermediate,94.99,12.99,4.1,186
Python: Learn Python with Real Python Hands-On Examples,60,5.5,Beginner,99.99,14.99,4.4,70
Python For Beginners: Learn Python With Hands-On Examples,72,5.5,Beginner,99.99,13.99,4.4,143
Python For Beginners : Quick Start Guide to Python 3,127,7.5,Beginner,94.99,12.99,4.6,179
Python Basics,14,2.0,Beginner,69.99,14.99,4.1,477
Complete Python Programming 2020: Beginner to Advanced,164,15.0,All Levels,94.99,12.99,4.2,419
100 Interactive Python Exercises to Boost Your Python Skill,21,1.5,All Levels,94.99,13.99,4.5,229
Python : Programming/Script/OOP/Advanced for Python Projects,240,19.0,All Levels,99.99,13.99,4.5,106
Python for Beginners 2017,65,5.5,Beginner,94.99,12.99,4.8,404
Python A-Z: Learn Python Programming By Building 10 Projects,175,14.5,All Levels,99.99,14.99,4.4,447
Complete Python 3 for Beginners,33,2.5,Beginner,19.99,12.99,4.1,275
Python For Beginners: Scripting Programming With Python 3,30,2.5,Beginner,94.99,12.99,4.2,102
Complete Python Bootcamp 2020: With Practical Projects,55,4.5,All Levels,19.99,12.99,4.2,115
Python: Python Programming Language | Tutorial |  Beginner,84,5.0,Beginner,94.99,12.99,4.2,178
Python 3 from Beginner to Expert - Learn Python from Scratch,138,20.0,Beginner,94.99,12.99,4.5,135
Learn Python 3 - Your First Step to Learning Python,52,4.5,Beginner,94.99,12.99,4.2,490
Selenium with Python|Best for beginner | Frameworks -34+ hrs,348,33.5,All Levels,109.99,14.99,4.2,712
Python Programming Basic,30,3.5,Beginner,19.99,12.99,4.2,110
Complete Python Beginner To Developer Course: Build Projects,198,29.5,Beginner,94.99,12.99,4.1,137
Python Programming For Everyone,29,2.0,Beginner,94.99,12.99,4.0,171
Python for New learners: Introduction to python programming,17,2.5,Beginner,89.99,12.99,4.8,254
"Python 3: Project-based Python, Algorithms, Data Structures",102,14.5,All Levels,119.99,16.99,4.6,574
Python Programming comprehensive course for Beginners,88,31.0,All Levels,94.99,12.99,4.3,121
"Python Programming for Excel Users - NumPy, Pandas and More!",70,3.5,Beginner,19.99,13.99,4.5,275
